,ci_test_results,z_test_results,z_test_p_values,t_test_p_values,mean_diff
CCDC70,False,False,0.06580138778759052,0.0660982357798913,2.5462300312965134
TFDP1,True,True,0.0008709341363587572,0.0009027938933247852,7.131694453599998
AC009060.2,True,True,0.008718641969612279,0.008851548789018962,5.674498213599996
XKR6,False,False,0.8745451889156033,0.8745771280532441,0.13399255115599917
DHX40,False,False,0.4646385141041043,0.4648101598709069,1.4995715314000009
DYNLT3,False,False,0.28833189088910693,0.2885887600605002,0.990777640200001
PARP11,False,False,0.8426812770369567,0.8427216975828156,0.24147975214000184
EXOSC5,False,False,0.29073778241924153,0.29099345566851076,1.3693241130000047
NPHP4,False,False,0.255418228030324,0.2556912040558098,1.8566435719800003
MAL,False,False,0.27699357165586946,0.27725605071353526,3.727697719880201
RAC2,True,True,1.0047208655530723e-26,2.2473454917990055e-25,187.746337924
GRINA,False,False,0.5889966496281485,0.5891171954692753,3.1845880620000457
CACNA1C,False,True,0.04995623632872976,0.050234127056399264,3.7190081149500003
ARRB2,True,True,6.516546696754962e-15,1.63128776065079e-14,65.26062395999999
CDYL,False,False,0.3483945163283886,0.3486213835128874,0.9085284580000028
CFD,False,False,0.13226542149912562,0.13258183224614647,8.829542318731399
GRIA2,False,False,0.5415572911534343,0.5416962776101685,0.7958365177471303
RGS19,True,True,0.0004502475214704668,0.00047033114102509784,10.549471460999996
IQSEC1,True,True,0.0001385054943564115,0.00014698014715928327,12.927273967999994
VSIG10,False,False,0.3239396173306689,0.3241786928164553,0.6586781889160003
PTPRK,True,True,0.006695356886279436,0.006810390651711558,4.48546253516
TRMT2A,True,True,2.1021122213783128e-07,2.546253213525761e-07,4.2349741174
AUNIP,False,False,0.24243054536986308,0.2427096714184137,1.3698364754313999
CAPN15,True,True,1.4898785110842168e-20,9.093041141297741e-20,28.717216162
SETD1B,True,True,0.01740589168304652,0.0175933605482327,2.4829279000000035
RP11-569G13.3,False,False,0.14996031222583706,0.1502738982967834,0.6619098507596
GH2,False,False,0.050538061716700465,0.05081682820713004,4.425885618420078
POMGNT2,False,False,0.42844640802002987,0.42863457396292237,1.235993102340002
UBE2U,False,False,0.3224290194629106,0.32266885122689537,0.7807871398640939
TXLNB,False,False,0.12362731490157024,0.12394430122888749,1.1290460111660003
MED26,False,False,0.1940678179304216,0.1943677988288418,0.665052654600002
LENG9,False,False,0.4444734957739044,0.4446542595865234,0.7743269903199996
AC092718.1,False,False,0.4687515025770074,0.4689213161247918,0.884321934233034
GUCA1A,False,False,0.21928581347516873,0.21957541881785436,1.7212734408576613
FAM24A,True,True,0.022933238668696128,0.02314475275412104,1.7884023462496512
SCYL1,False,False,0.07249599916676149,0.07279837767185093,2.427868261999997
PLEKHH3,False,False,0.44642404894568166,0.4466039211216942,0.8756037229791955
CHMP6,True,True,1.9287024629318529e-07,2.3415243007328123e-07,6.488950324999998
CERS6,False,False,0.7355569509925344,0.7356279772116656,0.5081279194000032
MYH14,False,False,0.1486179501979473,0.14893181746406178,1.4528133531670004
CUL3,True,True,1.1628983115906098e-05,1.2861787228495715e-05,6.97648244399997
DPY19L3,False,False,0.373873233659592,0.37408752043264626,0.8918337510000018
PLEKHS1,False,False,0.06658210404120454,0.06687966160589302,1.7923776964621199
CYTH3,True,True,0.011986119093320327,0.012142870882634143,3.64481017808
PFN4,False,False,0.9811544412460954,0.9811591632406416,0.03540488928688035
LRRC7,False,False,0.28606383659149526,0.28632183159187485,0.4836433809799201
SMAD9,False,False,0.7436995411841673,0.7437681023367205,0.3140075168540002
CNR2,True,True,0.00032318057089484405,0.00033900826684666344,7.765766810159995
DLGAP5,False,False,0.6691636364633357,0.669255808511923,0.7757662224199997
AGGF1,False,False,0.9458132104960101,0.945826824345682,0.11967642960000191
ZNF14,False,False,0.7683544401626967,0.7684156906443442,0.6084309544999975
DGKA,False,False,0.13165568557733648,0.13197215612528532,5.129571405400007
ALOX15,False,False,0.12640022517855654,0.1267170924596904,4.525563051536001
OR2C3,False,False,0.6358919297135196,0.6359954725233985,0.14462504159166262
LPP,False,False,0.09906906834988961,0.099383761739615,2.2426442981999983
